Utterance_Path,Usage_Count
/export/corpora5/LDC/LDC2014S02/data/Males/Session_2/S82/2.Silent_Room/6.Paragraph_2/Yamaha_Mixer.flac,1
/export/corpora5/LDC/LDC2014S02/data/Males/Session_2/NS263/2.Silent_Room/6.Paragraph_2/Yamaha_Mixer.flac,1
/export/corpora5/LDC/LDC2014S02/data/Males/Session_2/NS240/2.Silent_Room/7.Phonetic_Distinctive_Words_2/Yamaha_Mixer.flac,1
/export/corpora5/LDC/LDC2014S02/data/Females/Session_2/S120/2.Silent_Room/6.Paragraph_2/Yamaha_Mixer.flac,1
/export/corpora5/LDC/LDC2014S02/data/Males/Session_2/NS7/2.Silent_Room/6.Paragraph_2/Yamaha_Mixer.flac,1
/export/corpora5/LDC/LDC2014S02/data/Males/Session_2/S22/2.Silent_Room/7.Phonetic_Distinctive_Words_2/Yamaha_Mixer.flac,1
/export/corpora5/LDC/LDC2014S02/data/Males/Session_2/S129/2.Silent_Room/7.Phonetic_Distinctive_Words_2/Yamaha_Mixer.flac,1
/export/corpora5/LDC/LDC2014S02/data/Males/Session_2/NS259/2.Silent_Room/6.Paragraph_2/Yamaha_Mixer.flac,1
/export/corpora5/LDC/LDC2014S02/data/Males/Session_1/NS246/2.Silent_Room/1.SAAB_sentences_1/Yamaha_Mixer.flac,1
/export/corpora5/LDC/LDC2014S02/data/Males/Session_1/S74/2.Silent_Room/1.SAAB_sentences_1/Yamaha_Mixer.flac,1
/export/corpora5/LDC/LDC2014S02/data/Males/Session_2/NS216/2.Silent_Room/6.Paragraph_2/Yamaha_Mixer.flac,1
/export/corpora5/LDC/LDC2014S02/data/Females/Session_2/S17/2.Silent_Room/6.Paragraph_2/Yamaha_Mixer.flac,1
/export/corpora5/LDC/LDC2014S02/data/Males/Session_2/S79/2.Silent_Room/7.Phonetic_Distinctive_Words_2/Yamaha_Mixer.flac,1
/export/corpora5/LDC/LDC2014S02/data/Males/Session_2/NS242/2.Silent_Room/6.Paragraph_2/Yamaha_Mixer.flac,1
